category,top_keys
最新上線電影,"[('蕭子墨', 11), ('朴寶劍', 7), ('孔劉', 7), ('張基龍', 7), ('多恩', 6), ('安德拉戴', 5), ('大雄', 4), ('妻夫木聰', 4), ('章赫', 4), ('Mika', 4), ('哈樂黛', 3), ('比莉哈樂黛', 3), ('前田敦子', 3), ('邱澤', 2), ('張鈞甯', 2), ('今井Mika', 2), ('玉田宙', 2), ('長井惠里', 2), ('王寶強', 2), ('劉昊然', 2), ('秦風', 2), ('東尼嘉', 2), ('野田昊', 2), ('唐仁', 2), ('宮崎駿', 2), ('蔡秀彬', 2), ('佐藤健', 1), ('The Butler', 1), ('比莉', 1), ('奧斯卡', 1), ('Billie Holiday', 1), ('崔凡特羅德', 1), ('The Hollywood Reporter', 1), ('比莉哈樂黛珍珠', 1), ('AndraDay', 1), ('Trevante Rhodes', 1), ('李丹尼爾斯', 1), ('Variety', 1), ('Lee Daniels', 1), ('Precious', 1), ('姜棟元', 1), ('李貞賢', 1), ('山田孝之', 1), ('小栗旬', 1), ('渡邊直美', 1), ('班奈狄克康柏', 1), ('吉卜力', 1), ('菅田將暉', 1), ('寶英', 1), ('安潔莉娜裘莉', 1), ('AngelinaJolie', 1), ('白琴', 1), ('曾珮瑜', 1), ('孔劉屢屢', 1), ('孔劉員', 1), ('歐巴阿', 1), ('GagaOOLala', 1), ('小林遙', 1), ('華在', 1), ('辛奇', 1), ('炭治郎', 1), ('鄭秀晶', 1), ('聞天祥', 1), ('馬功夫', 1)]"
電影新聞,"[('娜塔莎', 11), ('史嘉蕾喬韓森', 10), ('馮迪索', 8), ('保羅沃克', 8), ('梅朵', 6), ('莎莉賽隆', 6), ('山姆雷米', 4), ('艾薩克珀爾馬特', 4), ('凱文費吉', 4), ('佛蘿倫絲普伊', 4), ('葉蓮娜', 4), ('思嘉莉', 4), ('漫威', 3), ('ScarlettJohansson', 3), ('舒淇', 3), ('錢人豪', 3), ('傑森史塔森', 3), ('強森', 3), ('林詣彬', 3), ('麥可', 2), ('伊莉莎白歐森', 2), ('山姆', 2), ('保羅', 2), ('喬丹娜布魯斯特', 2), ('史嘉蕾', 2), ('韓哥', 2), ('丹尼維勒納夫', 2), ('瑞秋麥亞當斯', 1), ('班尼狄克康柏', 1), ('JadeHalleyBartlett', 1), ('黃凱旋', 1), ('SamRaimi', 1), ('傑德巴特勒茲', 1), ('Benedict Wong', 1), ('史考特德瑞森', 1), ('老王', 1), ('MichaelWaldron', 1), ('Rachel McAdams', 1), ('Scott Derrickson', 1), ('克莉絲汀', 1), ('Elizabeth Olsen', 1), ('麥可沃爾德倫', 1), ('Michael Lynton', 1), (' Isaac Perlmutter', 1), ('麥可林頓', 1), ('Kevin Feige', 1), ('BlackWidow', 1), ('Alan Horn', 1), ('艾倫霍恩', 1), ('堵麥', 1), ('莎莉塞隆', 1), ('MeadowRainWalker', 1), ('Charlize Theron', 1), ('PaulWalker', 1), ('梅朵瑞恩沃克', 1), ('VinDiesel', 1), ('TyreseGibson', 1), ('Caleb Walker', 1), ('JordanaBrewster', 1), ('布萊恩歐康納', 1), ('泰瑞斯吉布森', 1), ('MeadowWalker', 1), ('布萊恩', 1), ('Cody Walker', 1), ('梅朵沃克', 1), ('寇迪沃克', 1), ('凱勒沃克', 1), ('CharlizeTheron', 1), ('David Harbour', 1), ('派瑞絲傑克森', 1), ('麥可傑克森', 1), ('塔伊加維迪', 1), ('賽斯羅根', 1), ('大衛歐洛沃', 1), ('田中美奈實', 1), ('尾上松也', 1), ('哥吉拉', 1), ('蘆田愛菜', 1), ('亞當溫高德', 1), ('田中圭', 1), ('FlorencePugh', 1), ('翁語岑', 1), ('錢寶', 1), ('吉賽兒', 1), ('蓋兒加朵', 1), ('路達克里斯', 1), ('巨石強森', 1), ('姜成鎬', 1), ('思嘉莉約翰森', 1), ('Florence Pugh', 1), ('凱文', 1), ('Brad Winderbaum', 1), ('凱特蕭蘭', 1), ('布萊德溫德鮑姆', 1), ('Josh Brolin', 1), ('班奈狄克康柏拜區', 1), ('Paolo Sorrentino', 1), ('Zendaya', 1), ('史戴倫史柯斯嘉 ', 1), ('Jane Campion', 1), ('DenisVilleneuve', 1), ('Oscar Isaac', 1), ('伊莉莎白摩斯', 1), ('保羅索倫蒂諾', 1), ('提摩西夏勒梅', 1), ('戴夫巴提斯塔', 1), ('Paul Atreides', 1), ('羅貝托貝尼尼', 1), ('傑森摩莫亞', 1), ('Elisabeth Moss', 1), ('奉俊昊', 1), ('Stellan Skarsgård', 1), ('Roberto Benigni', 1), ('Benedict Cumberbatch', 1), ('蕾貝卡弗格森', 1), ('Jason Momoa', 1), ('Dave Batista', 1), ('張震', 1), ('贊達亞', 1), ('喬許布洛林', 1), ('Charlotte Rampling', 1), ('珍康萍', 1), ('克絲汀鄧斯特', 1), ('保羅亞崔迪', 1), ('Javier Bardem', 1), ('夏綠蒂蘭普琳', 1), ('奧斯卡伊薩克', 1), ('Rebecca Ferguson', 1), ('Timothee Chalamet', 1), ('Kirsten Dunst', 1)]"
專題報導,"[('宮崎駿', 7), ('萊恩雷諾斯', 7), ('納摩', 7), ('詹姆斯岡恩', 5), ('蝙蝠俠', 5), ('米高基頓', 5), ('高畑勳', 5), ('馬修派瑞', 5), ('安東尼拉莫斯', 4), ('湯姆霍蘭德', 4), ('查克史奈德', 4), ('馮迪索', 3), ('安迪馬希提', 3), ('吉卜力', 3), ('雷神', 3), ('雷神索爾', 3), ('劉特', 3), ('趙露思', 3), ('保羅沃克', 2), ('林詣彬', 2), ('波魯克', 2), ('娜塔莉波曼', 2), ('路達克里斯', 2), ('喬丹娜布魯斯特', 2), ('周星馳', 2), ('洛基', 2), ('莫莉赫維茲', 2), ('亞特蘭提斯', 2), ('伊薩米勒', 2), ('鍾楚曦', 2), ('胡一天', 2), ('張基龍', 2), ('姜成鎬', 1), ('韓哥', 1), ('泰坦', 1), ('浩克', 1), ('安迪馬希', 1), ('麥可貝', 1), ('小史蒂芬卡普爾', 1), ('贊達亞', 1), ('賽斯麥克法蘭', 1), ('海莉史坦菲爾德', 1), ('朴敘俊', 1), ('彼得帕克', 1), ('漫威', 1), ('多米妮可斐許巴克', 1), ('熊麻吉', 1), ('馬克華伯格', 1), ('洛倫佐迪波納文圖拉', 1), ('MJ', 1), ('米妮可斐許巴克', 1), ('李畢福', 1), ('柯博文', 1), ('近藤喜文', 1), ('GuillermodelToro', 1), ('WesAnderson', 1), ('吉勒摩戴托羅', 1), ('琪琪', 1), ('魏斯安德森', 1), ('藍本所', 1), ('Mighty Thor', 1), ('神威雷神', 1), ('強森', 1), ('伊娃曼德絲', 1), ('娜塔莉艾曼紐', 1), ('Nicole Perlman', 1), ('蜜雪兒羅莉葛茲', 1), ('莎莉賽隆', 1), ('泰瑞斯吉普森', 1), ('Lindsey Beer', 1), ('蜜雅', 1), ('潔妮佛羅伯森德瑞特', 1), ('琳賽比爾', 1), ('妮可帕爾曼', 1), ('海倫米蘭', 1), ('傑森史塔森', 1), ('卡西流斯', 1), ('Mads Mikkelsen', 1), ('邁茲米克森', 1), ('陳可辛', 1), ('徐克', 1), ('于仁泰', 1), ('林嶺東', 1), ('Anders Hammer', 1), ('陳果', 1), ('周潤發', 1), ('安德斯漢默', 1), ('吳宇森', 1), ('成龍', 1), ('莫莉', 1), ('凱文布賴特', 1), ('漫威美', 1), ('阿湯哥', 1), ('甄子丹', 1), ('瑞欣喜', 1), ('強尼戴普', 1), ('錢德', 1), ('安柏赫德', 1), ('Rob McElhenney', 1), ('布蕾克萊芙莉', 1), ('勞勃麥可亨尼', 1), ('金鋼狼', 1), ('The Illuminerdi', 1), ('Tenoch Huerta', 1), ('泰諾克烏爾塔', 1), ('琴葛蕾', 1), ('瓦干達', 1), ('獨眼龍', 1), ('泰隆馬格努斯', 1), ('亨利卡維爾', 1), ('班艾佛列克', 1), ('Andy Muschietti', 1), ('Supergirl', 1), ('莎夏卡列', 1), ('Sasha Calle', 1), ('虞書欣', 1), ('惠利', 1), ('晝川', 1), ('韓素希', 1), ('丁禹', 1), ('李潭', 1), ('鄭乾', 1), ('白富美', 1), ('丁禹兮', 1), ('傳聞中的陳芊芊', 1), ('宋江', 1)]"
影評,"[('大衛林區', 7), ('阿慶', 7), ('韓可魯', 6), ('吉兒', 3), ('亞斯伯', 3), ('喬爾', 2), ('曹尚久', 2), ('保羅許瑞德', 2), ('泰倫斯馬立克', 2), ('仁哥', 2), ('小淇', 2), ('馬志翔', 2), ('諾亞', 1), ('艾咪', 1), ('札維耶多藍', 1), ('多藍', 1), ('高富帥', 1), ('李帝勳', 1), ('卡夫卡', 1), ('布紐爾', 1), ('珍妮佛林區', 1), ('David Lynch', 1), ('佛洛伊德', 1), ('史丹利庫柏力克', 1), ('夏秋', 1), ('橋本愛', 1), ('冬春', 1), ('武內', 1), ('伊旺麥奎格', 1), ('伊娃葛林', 1), ('大衛麥肯錫', 1), ('柯林佛斯', 1), ('史丹利圖奇', 1), ('奧莉薇亞庫克', 1), ('傑克歐康納', 1), ('LittleFish', 1), ('聞天祥', 1), ('齊石', 1), ('霸董', 1), ('阿仁', 1), ('楊智麟', 1), ('方雅各', 1), ('溫子仁', 1)]"
第93屆奧斯卡,"[('尹汝貞', 25), ('奧斯卡', 18), ('奉俊昊', 8), ('趙婷', 7), ('查德維克博斯曼', 4), ('安東尼霍普金斯', 4), ('查德維克', 3), ('麥可B喬丹', 3), ('湯瑪斯凡提柏格', 3), ('李奧納多狄卡皮歐', 3), ('史蒂芬索德柏', 2), ('法蘭西絲麥朵曼', 2), ('史蒂芬元', 2), ('葛倫克蘿絲', 2), ('梅木三吉', 2), ('楊虔豪', 2), ('查德威克', 1), ('查德威克鮑斯', 1), ('查德威克鮑斯曼', 1), ('史蒂芬索德柏坦', 1), ('Steven Soderbergh', 1), ('AnthonyHopkins', 1), ('MichaelB.Jordan', 1), ('霍普金斯', 1), ('ChadwickBoseman', 1), ('新冠肺炎', 1), ('潔絲拉米', 1), ('雅洛斯瓦夫卡明斯基', 1), ('卡明斯基', 1), ('Jaroslaw Kamiński', 1), ('潔絲米拉', 1), ('Jennifer Davisson', 1), ('麥斯', 1), ('馬汀', 1), ('LeonardoDiCaprio', 1), ('麥斯米克森', 1), ('Thomas Vinterberg', 1), ('李奧納多', 1), ('Mads Mikkelsen', 1), ('珍妮佛戴維孫', 1), ('艾倫（Ellen Degeneres', 1), ('道嬿', 1), ('文在寅', 1), ('鄭李爍', 1), ('Minari', 1), ('JTBC', 1), ('坎城', 1), ('姜受延', 1), ('金敏喜', 1), ('布萊德彼特', 1), ('趙英男', 1), ('葛莉塔潔薇', 1), ('史派克李', 1), ('哈里遜福特', 1), ('Anthony Giacchino', 1), ('艾莫芮德芬諾', 1), ('蕾吉娜金恩', 1), (' Swangin ', 1), ('Wilson ', 1), ('Mia Neal ', 1), ('小布', 1), (' Linda ', 1)]"
金馬奇幻影展,"[('湯哥', 11), ('湯昇榮', 8), ('林正盛', 6), ('林柏宏', 5), ('陳姸霏', 5), ('林子熙', 5), ('韓淑華', 4), ('莫允雯', 3), ('溫昇豪', 3), ('李志薔', 3), ('蔡銀娟', 3), ('諾蘭', 2), ('聞天祥', 2), ('陳庭妮', 2), ('宋喬安', 1), ('達斯汀霍夫曼', 1), ('許至汛', 1), ('SurpriseFirm', 1), ('金馬奇', 1), ('威爾法洛', 1), ('瞿友寧', 1), ('莫子儀', 1), ('黃信堯', 1)]"
全部,"[('尹汝貞', 25), ('奧斯卡', 19), ('蕭子墨', 11), ('娜塔莎', 11), ('馮迪索', 11), ('湯哥', 11), ('史嘉蕾喬韓森', 10), ('保羅沃克', 10), ('宮崎駿', 9), ('張基龍', 9), ('奉俊昊', 9), ('湯昇榮', 8), ('朴寶劍', 7), ('孔劉', 7), ('莎莉賽隆', 7), ('萊恩雷諾斯', 7), ('納摩', 7), ('大衛林區', 7), ('阿慶', 7), ('趙婷', 7), ('多恩', 6), ('梅朵', 6), ('韓可魯', 6), ('林正盛', 6), ('安德拉戴', 5), ('林詣彬', 5), ('詹姆斯岡恩', 5), ('蝙蝠俠', 5), ('米高基頓', 5), ('高畑勳', 5), ('馬修派瑞', 5), ('林柏宏', 5), ('陳姸霏', 5), ('林子熙', 5), ('大雄', 4), ('妻夫木聰', 4), ('吉卜力', 4), ('章赫', 4), ('Mika', 4), ('聞天祥', 4), ('漫威', 4), ('山姆雷米', 4), ('艾薩克珀爾馬特', 4), ('凱文費吉', 4), ('喬丹娜布魯斯特', 4), ('佛蘿倫絲普伊', 4), ('葉蓮娜', 4), ('傑森史塔森', 4), ('強森', 4), ('思嘉莉', 4), ('安東尼拉莫斯', 4), ('湯姆霍蘭德', 4), ('查克史奈德', 4), ('查德維克博斯曼', 4), ('安東尼霍普金斯', 4), ('韓淑華', 4), ('哈樂黛', 3), ('比莉哈樂黛', 3), ('前田敦子', 3), ('ScarlettJohansson', 3), ('舒淇', 3), ('錢人豪', 3), ('路達克里斯', 3), ('韓哥', 3), ('安迪馬希提', 3), ('雷神', 3), ('雷神索爾', 3), ('劉特', 3), ('趙露思', 3), ('吉兒', 3), ('亞斯伯', 3), ('查德維克', 3), ('麥可B喬丹', 3), ('湯瑪斯凡提柏格', 3), ('李奧納多狄卡皮歐', 3), ('莫允雯', 3), ('溫昇豪', 3), ('李志薔', 3), ('蔡銀娟', 3), ('邱澤', 2), ('張鈞甯', 2), ('今井Mika', 2), ('玉田宙', 2), ('長井惠里', 2), ('王寶強', 2), ('劉昊然', 2), ('秦風', 2), ('東尼嘉', 2), ('野田昊', 2), ('唐仁', 2), ('蔡秀彬', 2), ('麥可', 2), ('伊莉莎白歐森', 2), ('山姆', 2), ('保羅', 2), ('史嘉蕾', 2), ('姜成鎬', 2), ('丹尼維勒納夫', 2), ('贊達亞', 2), ('波魯克', 2), ('娜塔莉波曼', 2), ('Mads Mikkelsen', 2), ('周星馳', 2), ('洛基', 2), ('莫莉赫維茲', 2), ('亞特蘭提斯', 2), ('伊薩米勒', 2), ('鍾楚曦', 2), ('胡一天', 2), ('喬爾', 2), ('曹尚久', 2), ('保羅許瑞德', 2), ('泰倫斯馬立克', 2), ('仁哥', 2), ('小淇', 2), ('馬志翔', 2), ('史蒂芬索德柏', 2), ('法蘭西絲麥朵曼', 2), ('史蒂芬元', 2), ('葛倫克蘿絲', 2), ('梅木三吉', 2), ('楊虔豪', 2), ('諾蘭', 2), ('陳庭妮', 2), ('佐藤健', 1), ('The Butler', 1), ('比莉', 1), ('Billie Holiday', 1), ('崔凡特羅德', 1), ('The Hollywood Reporter', 1), ('比莉哈樂黛珍珠', 1), ('AndraDay', 1), ('Trevante Rhodes', 1), ('李丹尼爾斯', 1), ('Variety', 1), ('Lee Daniels', 1), ('Precious', 1), ('姜棟元', 1), ('李貞賢', 1), ('山田孝之', 1), ('小栗旬', 1), ('渡邊直美', 1), ('班奈狄克康柏', 1), ('菅田將暉', 1), ('寶英', 1), ('安潔莉娜裘莉', 1), ('AngelinaJolie', 1), ('白琴', 1), ('曾珮瑜', 1), ('孔劉屢屢', 1), ('孔劉員', 1), ('歐巴阿', 1), ('GagaOOLala', 1), ('小林遙', 1), ('華在', 1), ('辛奇', 1), ('炭治郎', 1), ('鄭秀晶', 1), ('馬功夫', 1), ('瑞秋麥亞當斯', 1), ('班尼狄克康柏', 1), ('JadeHalleyBartlett', 1), ('黃凱旋', 1), ('SamRaimi', 1), ('傑德巴特勒茲', 1), ('Benedict Wong', 1), ('史考特德瑞森', 1), ('老王', 1), ('MichaelWaldron', 1), ('Rachel McAdams', 1), ('Scott Derrickson', 1), ('克莉絲汀', 1), ('Elizabeth Olsen', 1), ('麥可沃爾德倫', 1), ('Michael Lynton', 1), (' Isaac Perlmutter', 1), ('麥可林頓', 1), ('Kevin Feige', 1), ('BlackWidow', 1), ('Alan Horn', 1), ('艾倫霍恩', 1), ('堵麥', 1), ('莎莉塞隆', 1), ('MeadowRainWalker', 1), ('Charlize Theron', 1), ('PaulWalker', 1), ('梅朵瑞恩沃克', 1), ('VinDiesel', 1), ('TyreseGibson', 1), ('Caleb Walker', 1), ('JordanaBrewster', 1), ('布萊恩歐康納', 1), ('泰瑞斯吉布森', 1), ('MeadowWalker', 1), ('布萊恩', 1), ('Cody Walker', 1), ('梅朵沃克', 1), ('寇迪沃克', 1), ('凱勒沃克', 1), ('CharlizeTheron', 1)]"
